reference,function,quantity,candidate,minimum_requirement,status,evidence
Q1-Q8,Power MOSFET,8,CSD19536KCS,100 V N-channel; hot RDS(on) used in loss model,REFERENCE_CANDIDATE,TI product page and Rev C datasheet
U1-U4,Half-bridge gate driver,4,UCC27211A,120 V bootstrap driver; independent inputs; UVLO,REFERENCE_CANDIDATE,TI Rev D datasheet
U5,Controller,1,LAUNCHXL-F28379D,200 MHz C2000 F28379D development board,SELECTED_FOR_PROTOTYPE,TI development-kit page
U6-U8,Isolated current sensor,3,TMCS1123B2AQDVGRQ1,"3.3 V; 50 mV/A; +/-31 A linear range; 250 kHz bandwidth; fast overcurrent alert",REFERENCE_CANDIDATE,TI Rev D datasheet
LDC,DC-DC inductor,1,Custom or catalog part,500 uH; saturation at least 25 A; DCR at most 15 mOhm; characterized core loss,ENGINEERING_REQUIRED,Power-stage calculation
L1,Inverter-side LCL inductor,1,Custom or catalog part,150 uH; saturation at least 30 A; low-loss at 20 kHz ripple,ENGINEERING_REQUIRED,Simulation and power-stage calculation
L2,Grid-side LCL inductor,1,Custom or catalog part,75 uH plus emulator/grid impedance; saturation at least 30 A,ENGINEERING_REQUIRED,Simulation and power-stage calculation
CDC,DC-link capacitor bank,3,KEMET ALS31A103KE100,"30 mF nominal/24 mF at -20%; 100 VDC; 30.3 Arms aggregate 100 Hz rating",REFERENCE_CANDIDATE,KEMET part specification and passive/protection calculation
CF,LCL capacitor,1,KEMET C4AQUBW5200A3MJ,"20 uF 5%; 1300 VDC; 18.3 Arms at 10 kHz/70 C",REFERENCE_CANDIDATE,KEMET part specification and LCL calculation
RD,LCL damping resistor,1,TE HSC100R56J,"0.56 ohm 5%; 100 W chassis mount with specified heatsink",REFERENCE_CANDIDATE,TE product specification and loss allocation
RPRE,Precharge resistor,1,TE HSC10047RJ,"47 ohm 5%; 100 W chassis mount; 62.0 W maximum initial load with specified heatsink",REFERENCE_CANDIDATE,TE product specification and precharge calculation
K1,Main DC contactor,1,Albright SW80B,"96 VDC with blowouts; 100 A thermal; continuous 12 V coil and auxiliary contact required",CONFIGURATION_PENDING,Albright SW80 datasheet
F1,PV/DC fuse,1,Littelfuse JLLN030.T,"30 A; 160 VDC; 50 kA DC interrupt rating",COORDINATION_PENDING,Littelfuse JLLN datasheet
TVS1-TVS4,Switch-node clamp,4,TBD,Selected after double-pulse overshoot measurement,MEASUREMENT_DEPENDENT,Single-leg commissioning plan
